zipcode,name
01001,One
01008,One
01009,One
01010,One
01011,One
01012,One
01013,One
01020,One
01022,One
01026,One
01027,One
01028,One
01029,One
01030,One
01032,One
01033,One
01034,One
01036,One
01039,One
01040,One
01050,One
01056,One
01057,One
01069,One
01070,One
01071,One
01073,One
01075,One
01077,One
01079,One
01080,One
01081,One
01083,One
01084,One
01085,One
01086,One
01089,One
01092,One
01095,One
01096,One
01097,One
01098,One
01103,One
01104,One
01105,One
01106,One
01107,One
01108,One
01109,One
01118,One
01119,One
01128,One
01129,One
01151,One
01199,One
01201,One
01220,One
01222,One
01223,One
01224,One
01225,One
01226,One
01229,One
01230,One
01235,One
01236,One
01237,One
01238,One
01240,One
01242,One
01243,One
01244,One
01245,One
01247,One
01253,One
01254,One
01255,One
01256,One
01257,One
01258,One
01259,One
01260,One
01262,One
01264,One
01266,One
01267,One
01270,One
01301,One
01330,One
01337,One
01338,One
01339,One
01340,One
01341,One
01343,One
01346,One
01350,One
01367,One
01370,One
01506,One
01507,One
01515,One
01518,One
01521,One
01550,One
01566,One
01571,One
01585,One
01002,Two
01003,Two
01005,Two
01007,Two
01031,Two
01035,Two
01037,Two
01038,Two
01039,Two
01053,Two
01054,Two
01060,Two
01062,Two
01063,Two
01066,Two
01068,Two
01069,Two
01072,Two
01074,Two
01082,Two
01088,Two
01093,Two
01094,Two
01301,Two
01331,Two
01342,Two
01344,Two
01347,Two
01349,Two
01351,Two
01354,Two
01355,Two
01360,Two
01364,Two
01366,Two
01368,Two
01370,Two
01373,Two
01375,Two
01376,Two
01378,Two
01379,Two
01420,Two
01436,Two
01438,Two
01440,Two
01452,Two
01453,Two
01468,Two
01475,Two
01501,Two
01504,Two
01505,Two
01516,Two
01519,Two
01520,Two
01522,Two
01524,Two
01525,Two
01527,Two
01529,Two
01531,Two
01532,Two
01534,Two
01535,Two
01536,Two
01537,Two
01540,Two
01541,Two
01542,Two
01543,Two
01545,Two
01560,Two
01562,Two
01564,Two
01568,Two
01569,Two
01570,Two
01581,Two
01583,Two
01585,Two
01588,Two
01590,Two
01602,Two
01603,Two
01604,Two
01605,Two
01606,Two
01607,Two
01608,Two
01609,Two
01610,Two
01611,Two
01612,Two
01756,Two
01757,Two
02019,Two
01420,Three
01430,Three
01431,Three
01432,Three
01434,Three
01440,Three
01450,Three
01451,Three
01453,Three
01460,Three
01462,Three
01463,Three
01464,Three
01467,Three
01469,Three
01473,Three
01474,Three
01475,Three
01503,Three
01510,Three
01523,Three
01561,Three
01718,Three
01719,Three
01720,Three
01740,Three
01741,Three
01742,Three
01749,Three
01752,Three
01754,Three
01773,Three
01775,Three
01776,Three
01810,Three
01824,Three
01826,Three
01827,Three
01830,Three
01832,Three
01835,Three
01840,Three
01841,Three
01843,Three
01844,Three
01850,Three
01851,Three
01852,Three
01854,Three
01863,Three
01879,Three
01886,Three
01747,Four
01748,Four
01757,Four
02019,Four
02030,Four
02035,Four
02038,Four
02048,Four
02052,Four
02053,Four
02054,Four
02056,Four
02067,Four
02071,Four
02072,Four
02081,Four
02093,Four
02215,Four
02347,Four
02356,Four
02357,Four
02375,Four
02445,Four
02446,Four
02457,Four
02458,Four
02459,Four
02460,Four
02461,Four
02462,Four
02464,Four
02465,Four
02466,Four
02467,Four
02468,Four
02472,Four
02481,Four
02482,Four
02492,Four
02494,Four
02702,Four
02703,Four
02715,Four
02717,Four
02718,Four
02720,Four
02721,Four
02723,Four
02725,Four
02726,Four
02760,Four
02762,Four
02763,Four
02764,Four
02766,Four
02767,Four
02769,Four
02771,Four
02777,Four
02779,Four
02780,Four
02790,Four
02861,Four
01581,Five
01701,Five
01702,Five
01721,Five
01730,Five
01731,Five
01745,Five
01746,Five
01760,Five
01770,Five
01772,Five
01773,Five
01776,Five
01778,Five
01801,Five
01890,Five
02128,Five
02138,Five
02139,Five
02140,Five
02141,Five
02145,Five
02148,Five
02151,Five
02152,Five
02155,Five
02176,Five
02180,Five
02420,Five
02421,Five
02451,Five
02452,Five
02453,Five
02472,Five
02474,Five
02476,Five
02478,Five
02493,Five
01730,Six
01731,Six
01801,Six
01803,Six
01810,Six
01821,Six
01833,Six
01834,Six
01845,Six
01860,Six
01862,Six
01864,Six
01867,Six
01876,Six
01880,Six
01887,Six
01901,Six
01902,Six
01904,Six
01905,Six
01906,Six
01907,Six
01908,Six
01913,Six
01915,Six
01921,Six
01922,Six
01923,Six
01929,Six
01930,Six
01937,Six
01938,Six
01940,Six
01944,Six
01945,Six
01949,Six
01950,Six
01951,Six
01952,Six
01960,Six
01966,Six
01969,Six
01970,Six
01982,Six
01983,Six
01984,Six
01985,Six
02110,Seven
02111,Seven
02115,Seven
02116,Seven
02118,Seven
02119,Seven
02120,Seven
02121,Seven
02122,Seven
02124,Seven
02125,Seven
02126,Seven
02127,Seven
02128,Seven
02129,Seven
02130,Seven
02131,Seven
02132,Seven
02134,Seven
02135,Seven
02136,Seven
02138,Seven
02139,Seven
02140,Seven
02141,Seven
02142,Seven
02143,Seven
02144,Seven
02145,Seven
02148,Seven
02149,Seven
02150,Seven
02151,Seven
02152,Seven
02155,Seven
02163,Seven
02186,Seven
02199,Seven
02215,Seven
02368,Seven
02467,Seven
02021,Eight
02025,Eight
02026,Eight
02032,Eight
02043,Eight
02045,Eight
02047,Eight
02050,Eight
02062,Eight
02066,Eight
02071,Eight
02072,Eight
02081,Eight
02090,Eight
02108,Eight
02109,Eight
02110,Eight
02113,Eight
02114,Eight
02118,Eight
02122,Eight
02124,Eight
02125,Eight
02127,Eight
02130,Eight
02131,Eight
02132,Eight
02136,Eight
02169,Eight
02170,Eight
02171,Eight
02184,Eight
02186,Eight
02188,Eight
02189,Eight
02190,Eight
02191,Eight
02203,Eight
02210,Eight
02301,Eight
02302,Eight
02322,Eight
02324,Eight
02333,Eight
02343,Eight
02351,Eight
02368,Eight
02379,Eight
02382,Eight
02467,Eight
02767,Eight
02050,Nine
02061,Nine
02330,Nine
02332,Nine
02338,Nine
02339,Nine
02341,Nine
02346,Nine
02347,Nine
02359,Nine
02360,Nine
02364,Nine
02366,Nine
02367,Nine
02370,Nine
02532,Nine
02534,Nine
02535,Nine
02536,Nine
02537,Nine
02538,Nine
02539,Nine
02540,Nine
02542,Nine
02543,Nine
02553,Nine
02554,Nine
